id,category,question,answer,tags,source_url
qa_001,store,What is Naguabo Commercial?,"Naguabo Commercial is a hardware store in Naguabo, Puerto Rico, offering products for building, fixing, paint, plumbing, electrical, garden, lighting, hardware, and roof sealing.","about,hardware store",https://ncommercial.vercel.app/
qa_002,store,Where is Naguabo Commercial located?,"Naguabo Commercial is located at 20 Calle Venecia Naguabo, Puerto Rico, 00718.","address,location",https://ncommercial.vercel.app/
qa_003,store,What is the phone number for Naguabo Commercial?,The phone number is (787)874-2120.,"phone,contact",https://ncommercial.vercel.app/
qa_004,store,What is the email for Naguabo Commercial?,The contact email is info@naguabo-commercial.com.,"email,contact",https://ncommercial.vercel.app/
qa_005,store,Is Naguabo Commercial online store open 24/7?,Yes. The website lists Naguabo Commercial as Open 24/7 Online.,"hours,online",https://ncommercial.vercel.app/
qa_006,store,Does Naguabo Commercial offer free pickup?,"Yes. The site lists free pickup, and product pages state pickup is available in about 1 hour at the Naguabo store for listed products.",pickup,https://ncommercial.vercel.app/
qa_007,store,How fast is pickup at the Naguabo store?,The site states in-store pickup is ready in about 1 hour for listed products.,"pickup,time",https://ncommercial.vercel.app/
qa_008,store,Does Naguabo Commercial deliver across Puerto Rico?,Yes. The homepage states fast delivery across Puerto Rico.,"delivery,Puerto Rico",https://ncommercial.vercel.app/
qa_009,store,Is checkout secure?,Yes. The site states secure checkout powered by Stripe.,"checkout,Stripe",https://ncommercial.vercel.app/
qa_010,store,What happens if an item is out of stock?,"If an item is out of stock, the site says to allow 24 to 48 hours for delivery or pickup.","stock,out of stock",https://ncommercial.vercel.app/
qa_011,store,Can customers ask questions by WhatsApp?,"Yes. Product pages include an “Ask on WhatsApp” option, and the homepage also offers WhatsApp subscription for deals.","WhatsApp,customer service",https://ncommercial.vercel.app/
qa_012,store,Can customers subscribe to deals?,"Yes. The website invites customers to subscribe via WhatsApp for weekly offers, new arrivals, and pro tips.","deals,WhatsApp",https://ncommercial.vercel.app/
qa_013,store,What departments are available?,"Departments shown include Tools, Building Materials, Plumbing, Electrical, Paint, Garden, Hardware, Lighting, and Roof Sealing.","departments,categories",https://ncommercial.vercel.app/
qa_014,store,What slogan does the site use?,The homepage headline says “Build It. Fix It. Get It Done.”,slogan,https://ncommercial.vercel.app/
