id,category_en,category_es,question_en,answer_en,question_es,answer_es,question_bilingual,answer_bilingual,tags,source_url
qa_001,store,tienda,What is Naguabo Commercial?,"Naguabo Commercial is a hardware store in Naguabo, Puerto Rico, offering products for building, fixing, paint, plumbing, electrical, garden, lighting, hardware, and roof sealing.",¿Qué es Naguabo Commercial?,"Naguabo Commercial es una ferretería en Naguabo, Puerto Rico, que ofrece productos para construcción, reparación, pintura, plomería, electricidad, jardín, iluminación, ferretería y sellado de techos.","EN: What is Naguabo Commercial?
ES: ¿Qué es Naguabo Commercial?","EN: Naguabo Commercial is a hardware store in Naguabo, Puerto Rico, offering products for building, fixing, paint, plumbing, electrical, garden, lighting, hardware, and roof sealing.
ES: Naguabo Commercial es una ferretería en Naguabo, Puerto Rico, que ofrece productos para construcción, reparación, pintura, plomería, electricidad, jardín, iluminación, ferretería y sellado de techos.","about,hardware store",https://ncommercial.vercel.app/
qa_002,store,tienda,Where is Naguabo Commercial located?,"Naguabo Commercial is located at 20 Calle Venecia Naguabo, Puerto Rico, 00718.",¿Dónde está ubicado Naguabo Commercial?,"Naguabo Commercial está ubicado en 20 Calle Venecia, Naguabo, Puerto Rico, 00718.","EN: Where is Naguabo Commercial located?
ES: ¿Dónde está ubicado Naguabo Commercial?","EN: Naguabo Commercial is located at 20 Calle Venecia Naguabo, Puerto Rico, 00718.
ES: Naguabo Commercial está ubicado en 20 Calle Venecia, Naguabo, Puerto Rico, 00718.","address,location",https://ncommercial.vercel.app/
qa_003,store,tienda,What is the phone number for Naguabo Commercial?,The phone number is (787)874-2120.,¿Cuál es el número de teléfono de Naguabo Commercial?,El número de teléfono es (787)874-2120.,"EN: What is the phone number for Naguabo Commercial?
ES: ¿Cuál es el número de teléfono de Naguabo Commercial?","EN: The phone number is (787)874-2120.
ES: El número de teléfono es (787)874-2120.","phone,contact",https://ncommercial.vercel.app/
qa_004,store,tienda,What is the email for Naguabo Commercial?,The contact email is info@naguabo-commercial.com.,¿Cuál es el email de Naguabo Commercial?,El email de contacto es info@naguabo-commercial.com.,"EN: What is the email for Naguabo Commercial?
ES: ¿Cuál es el email de Naguabo Commercial?","EN: The contact email is info@naguabo-commercial.com.
ES: El email de contacto es info@naguabo-commercial.com.","email,contact",https://ncommercial.vercel.app/
qa_005,store,tienda,Is Naguabo Commercial online store open 24/7?,Yes. The website lists Naguabo Commercial as Open 24/7 Online.,¿La tienda online de Naguabo Commercial está abierta 24/7?,Sí. El sitio web indica que Naguabo Commercial está abierto online 24/7.,"EN: Is Naguabo Commercial online store open 24/7?
ES: ¿La tienda online de Naguabo Commercial está abierta 24/7?","EN: Yes. The website lists Naguabo Commercial as Open 24/7 Online.
ES: Sí. El sitio web indica que Naguabo Commercial está abierto online 24/7.","hours,online",https://ncommercial.vercel.app/
qa_006,store,tienda,Does Naguabo Commercial offer free pickup?,"Yes. The site lists free pickup, and product pages state pickup is available in about 1 hour at the Naguabo store for listed products.",¿Naguabo Commercial ofrece recogido gratis?,"Sí. El sitio menciona recogido gratis, y las páginas de producto indican que el recogido está disponible en aproximadamente 1 hora en la tienda de Naguabo para los productos listados.","EN: Does Naguabo Commercial offer free pickup?
ES: ¿Naguabo Commercial ofrece recogido gratis?","EN: Yes. The site lists free pickup, and product pages state pickup is available in about 1 hour at the Naguabo store for listed products.
ES: Sí. El sitio menciona recogido gratis, y las páginas de producto indican que el recogido está disponible en aproximadamente 1 hora en la tienda de Naguabo para los productos listados.",pickup,https://ncommercial.vercel.app/
qa_007,store,tienda,How fast is pickup at the Naguabo store?,The site states in-store pickup is ready in about 1 hour for listed products.,¿Qué tan rápido es el recogido en la tienda de Naguabo?,El sitio indica que el recogido en tienda está listo en aproximadamente 1 hora para los productos listados.,"EN: How fast is pickup at the Naguabo store?
ES: ¿Qué tan rápido es el recogido en la tienda de Naguabo?","EN: The site states in-store pickup is ready in about 1 hour for listed products.
ES: El sitio indica que el recogido en tienda está listo en aproximadamente 1 hora para los productos listados.","pickup,time",https://ncommercial.vercel.app/
qa_008,store,tienda,Does Naguabo Commercial deliver across Puerto Rico?,Yes. The homepage states fast delivery across Puerto Rico.,¿Naguabo Commercial entrega en todo Puerto Rico?,Sí. La página principal indica entrega rápida en todo Puerto Rico.,"EN: Does Naguabo Commercial deliver across Puerto Rico?
ES: ¿Naguabo Commercial entrega en todo Puerto Rico?","EN: Yes. The homepage states fast delivery across Puerto Rico.
ES: Sí. La página principal indica entrega rápida en todo Puerto Rico.","delivery,Puerto Rico",https://ncommercial.vercel.app/
qa_009,store,tienda,Is checkout secure?,Yes. The site states secure checkout powered by Stripe.,¿El checkout es seguro?,Sí. El sitio indica checkout seguro impulsado por Stripe.,"EN: Is checkout secure?
ES: ¿El checkout es seguro?","EN: Yes. The site states secure checkout powered by Stripe.
ES: Sí. El sitio indica checkout seguro impulsado por Stripe.","checkout,Stripe",https://ncommercial.vercel.app/
qa_010,store,tienda,What happens if an item is out of stock?,"If an item is out of stock, the site says to allow 24 to 48 hours for delivery or pickup.",¿Qué pasa si un artículo está fuera de inventario?,"Si un artículo está fuera de inventario, el sitio indica permitir de 24 a 48 horas para entrega o recogido.","EN: What happens if an item is out of stock?
ES: ¿Qué pasa si un artículo está fuera de inventario?","EN: If an item is out of stock, the site says to allow 24 to 48 hours for delivery or pickup.
ES: Si un artículo está fuera de inventario, el sitio indica permitir de 24 a 48 horas para entrega o recogido.","stock,out of stock",https://ncommercial.vercel.app/
qa_011,store,tienda,Can customers ask questions by WhatsApp?,"Yes. Product pages include an “Ask on WhatsApp” option, and the homepage also offers WhatsApp subscription for deals.",¿Los clientes pueden hacer preguntas por WhatsApp?,"Sí. Las páginas de producto incluyen una opción de “Ask on WhatsApp”, y la página principal también ofrece suscripción por WhatsApp para ofertas.","EN: Can customers ask questions by WhatsApp?
ES: ¿Los clientes pueden hacer preguntas por WhatsApp?","EN: Yes. Product pages include an “Ask on WhatsApp” option, and the homepage also offers WhatsApp subscription for deals.
ES: Sí. Las páginas de producto incluyen una opción de “Ask on WhatsApp”, y la página principal también ofrece suscripción por WhatsApp para ofertas.","WhatsApp,customer service",https://ncommercial.vercel.app/
qa_012,store,tienda,Can customers subscribe to deals?,"Yes. The website invites customers to subscribe via WhatsApp for weekly offers, new arrivals, and pro tips.",¿Los clientes pueden suscribirse a ofertas?,"Sí. El sitio invita a los clientes a suscribirse por WhatsApp para ofertas semanales, productos nuevos y consejos profesionales.","EN: Can customers subscribe to deals?
ES: ¿Los clientes pueden suscribirse a ofertas?","EN: Yes. The website invites customers to subscribe via WhatsApp for weekly offers, new arrivals, and pro tips.
ES: Sí. El sitio invita a los clientes a suscribirse por WhatsApp para ofertas semanales, productos nuevos y consejos profesionales.","deals,WhatsApp",https://ncommercial.vercel.app/
qa_013,store,tienda,What departments are available?,"Departments shown include Tools, Building Materials, Plumbing, Electrical, Paint, Garden, Hardware, Lighting, and Roof Sealing.",¿Qué departamentos están disponibles?,"Los departamentos mostrados incluyen Herramientas, Materiales de construcción, Plomería, Eléctrico, Pintura, Jardín, Ferretería, Iluminación y Sellado de techos.","EN: What departments are available?
ES: ¿Qué departamentos están disponibles?","EN: Departments shown include Tools, Building Materials, Plumbing, Electrical, Paint, Garden, Hardware, Lighting, and Roof Sealing.
ES: Los departamentos mostrados incluyen Herramientas, Materiales de construcción, Plomería, Eléctrico, Pintura, Jardín, Ferretería, Iluminación y Sellado de techos.","departments,categories",https://ncommercial.vercel.app/
qa_014,store,tienda,What slogan does the site use?,The homepage headline says “Build It. Fix It. Get It Done.”,¿Qué eslogan usa el sitio?,El titular de la página principal dice “Build It. Fix It. Get It Done.”,"EN: What slogan does the site use?
ES: ¿Qué eslogan usa el sitio?","EN: The homepage headline says “Build It. Fix It. Get It Done.”
ES: El titular de la página principal dice “Build It. Fix It. Get It Done.”",slogan,https://ncommercial.vercel.app/
qa_015,store,tienda,What brand is promoted for roofing?,CROSSCO is promoted as a trusted roofing brand on the homepage.,¿Qué marca se promociona para techos?,CROSSCO se promociona como una marca confiable para techos en la página principal.,"EN: What brand is promoted for roofing?
ES: ¿Qué marca se promociona para techos?","EN: CROSSCO is promoted as a trusted roofing brand on the homepage.
ES: CROSSCO se promociona como una marca confiable para techos en la página principal.","CROSSCO,roofing",https://ncommercial.vercel.app/
